科目（民法物権）,,民法物権,,,もっと深掘る,,問題,,,肢,,メモ
他人の土地の地下、空中にも地上権を設定することはできる,,,,,"【要点解説】区分地上権（地下・空間の利用）
1. 根拠条文
結論：可能（区分地上権）
工作物を所有するため、地下または空中の特定の層を目的として地上権を設定することができます。これを一般に区分地上権と呼びます。

根拠条文：民法269条の2第1項

「地下又は空中の特定の層を目的として、工作物を所有するため、地上権を設定することができる。この場合においては、設定行為で、地上権の行使のためにその土地の利用に制限を加えることができる。」

趣旨
土地の所有権は、正当な利益の存する限度において「その土地の上下に及ぶ（民法207条）」のが原則です。しかし、地下鉄やS架橋のように、土地の表面を使わずに「特定の部分」だけを利用したいニーズに応えるために認められています。

2. 具体例
地下の利用：

地下鉄のトンネルを通すため、地下20メートルから30メートルの範囲に区分地上権を設定する。

空中の利用：

S圧電線を張るため、またはモノレールの軌道を設置するため、地上15メートルから25メートルの範囲に区分地上権を設定する。

建物の上にさらに別の建物を建てる（空中権の利用）。

3. 過去問の急所（ひっかけ対策）
行政書士試験において、区分地上権で問われやすいポイントは以下の3点です。

範囲の特定

ポイント： 区分地上権を設定するには、「上下の範囲」を数値（標Sや深さなど）で具体的に定めなければなりません。

ひっかけ： 「範囲を定めずに空中のみを目的として設定できる」→ ×（範囲の特定が必須）

第三者の承諾（民法269条の2第2項）

ポイント： すでにその土地に利用権（賃借権や抵当権など）を持っている人がいる場合、その人たちの全員の承諾がなければ、区分地上権を設定することはできません。

ひっかけ： 「過半数の承諾があればよい」や「抵当権者の承諾は不要」→ ×（全員の承諾が必要）

目的の限定

ポイント： 区分地上権は**「工作物を所有するため」**に限定されます。

ひっかけ： 「竹木を植栽するために区分地上権を設定できる」→ ×（樹木を植えるための区分地上権は認められません。通常の地上権との違いです）

4. 周辺知識
通常の地上権との比較や、登記の実務に関する知識です。

比較項目	通常の地上権	区分地上権
目的	工作物の所有・竹木の所有	工作物の所有のみ
利用範囲	土地全体（上下に及ぶ）	特定の層（地下または空中）
土地の利用制限	特になし（全面的利用）	設定行為で制限可能（例：地表に重い建物を建てない等）
第三者の承諾	不要（所有者との合意で可）	既登利害関係人全員の承諾が必要
【実務上のTips】
地下鉄を通す際などに、土地所有者に支払われる対価（地代）は、通常の地上権よりも安くなるのが一般的です。土地の表面の利用が阻害されない度合いがSいためです。",,物権の成立に関する次のア～オの記述のうち、民法の規定および判例に照らし、妥当でないものの組合せはどれか。,,,他人の土地の地下または空間の一部について、工作物を所有するため、上下の範囲を定めて地上権を設定することは認められない。,,
一筆の土地の一部について、所有権を時効取得することはできる,,,,,【要点解説】一筆の土地の一部の時効取得1. 根拠（条文・判例）結論：可能一筆の土地の一部であっても、時効取得の対象となります。根拠条文：民法162条条文上の「他人の物」は、必ずしも登記上の「一筆」と一致する必要はありません。根拠判例：大判大13.10.7（最重要）「一筆の土地の一部についても、所有権の時効取得を認めることができる」と判示しました。考え方のポイント時効制度は「占有」という事実状態を尊重する制度です。登記簿上の区切り（一筆）という形式的な枠組みに縛られるものではないと考えられています。2. 具体例ケース：境界線の勘違い隣接するA地とB地があり、A地の所有者が境界線を勘違いして、B地の一部（例：庭の端の数T方メートル）を自分の土地として塀で囲い、20年以上T穏・公然に利用し続けた場合。結果：Aは、その占有していた**「B地の一部」のみ**について、時効により所有権を取得します。3. 過去問の急所（ひっかけ対策）過去の行政書士試験や公務員試験において、頻出する論点は以下の通りです。「分筆」との関係×誤り： 「一部を時効取得するには、あらかじめ分筆登記がなされていなければならない」○正しい： 時効完成による権利の取得自体に、分筆登記は不要です。分筆が必要になるのは、時効完成後にその所有権を登記（対抗要件の具備）する場合です。「全部か一部か」の限定×誤り： 「土地の所有権を時効取得するには、一筆の土地の全部を占有しなければならない」○正しい： 物理的な一部の占有で足ります。4. 周辺知識（セットで覚えるべき知識）時効取得の対象範囲に関連して、以下の知識も併せて整理しておきましょう。項目内容共有持分の時効取得物理的な土地の一部だけでなく、権利上の割合である**「共有持分」**も時効取得の対象となります。自己所有物の時効取得特段の事情（立証の必要がある場合など）があれば、自分の名義になっている物であっても時効取得が認められます（最判昭42.6.27）。地役権の時効取得通行地役権などの地役権も、土地の一部を対象として継続・表現されている限り、時効取得が可能です（民法283条）。時効取得と登記時効完成前に現れた第三者には登記なく対抗できますが、時効完成後に現れた第三者には、登記がなければ対抗できません。受験生へのアドバイスこの論点は「事実（占有）が形式（登記）に優先する」という時効の根本原則を理解していれば得点源になります。「一部でもOK、分筆は後回し」とシンプルに覚えましょう。,,,,,一筆の土地の一部について、所有権を時効によって取得することは認められる。（ｒ）,,
集合動産を一括して譲渡担保の目的とすることもできる,,,,,1. 根拠（判例・法理）結論：可能構成部分が変動する集合体であっても、一定の範囲で特定されている限り、一つの目的物として譲渡担保権を設定できます。根拠となる判例：最判昭54.2.15（最重要）事案： 養豚業者が、飼育中のブタ（現在はもちろん、将来生まれるものも含む）をまとめて借金のカタ（譲渡担保）にしたケース。判示： 「種類、所在場所及び量的範囲を指定するなどの方法により目的物の範囲が特定される場合には、一個の集合物として譲渡担保の目的とすることができる」考え方のポイント本来、動産は「1個の物」として特定して扱うのが原則（一物一権主義）です。しかし、この判例は「経済的な独立性」を重視し、**「枠組み（種類・場所・数量）」**さえ決まっていれば、中身が入れ替わっても全体を一つの担保として認めるという画期的な判断を下しました。2. 具体例ケース：養豚場のブタ種類： 繁殖用および肥育用のブタ所在場所： 〇〇県〇〇市 債務者経営の第1・第2養豚舎内量的範囲： その中に現在いる、および将来搬入される全頭実務上の動き：親豚が死んだり、子豚が売却されても、新たに生まれたり購入されたブタがその養豚舎に入った時点で、自動的に担保の効力が及びます。3. 過去問の急所（ひっかけ対策）行政書士試験で得点に直結するポイントは以下の3点です。特定の3要素ポイント： **「種類」「所在場所」「量的範囲」**で特定します。ひっかけ： 「個々の個体について耳標などで個別に特定しなければならない」→ ×（枠組みの特定で足ります）対抗要件（公示の方法）ポイント： 占有改定（民法183条）によって行います。重要知識： 占有改定がなされれば、その後に新しく集合物の中に加わった個々の動産についても、当然に譲渡担保の効力が及び、対抗要件も備わったことになります（最判昭62.11.10）。将来の動産ポイント： 設定時にまだ存在していない（将来取得する）動産を対象に含めることができます。ひっかけ： 「現在存在する動産に限られる」→ ×（将来の動産もOK）4. 周辺知識（セットで覚えるべき知識）項目内容即時取得との関係担保に入っていることを知らずに、通常の商取引で個別のブタを買い取った第三者は、**即時取得（192条）**により所有権を得る可能性があります。実行方法債務が不履行になった場合、債権者は集合物全体を競売にかけるか、適正価格で評価して自分のものにする（帰属清算）などの方法で回収します。一物一権主義との調和集合物を「一つの物」として扱うことで、一物一権主義の例外ではなく、むしろその原則に適合させているという解釈が一般的です。受験生へのアドバイス「昭和54年のブタ」と覚えましょう。行政書士試験では、物権法の後半や担保物権の総論的な位置付けで、「判例の認める非典型担保」としてよく顔を出します。「特定さえできていれば中身が入れ替わってもOK」という柔軟さがこの制度のキモです。,,,,,構成部分の変動する集合動産について、一括して譲渡担保の目的とすることは認められない。,,
樹木を土地と独立して売却することも認められる,,,,,1. 根拠（法律・判例）結論：可能原則として、樹木は土地の定着物として土地所有権に含まれますが、特定の要件を満たすことで、土地とは独立した不動産として売却や担保の対象にできます。根拠法1：立木ニ関スル法律（立木法）一定の樹木の集団について「立木登録」を行い、所有権保存の登記をすることで、独立した不動産（建物と同じような扱い）となります。抵当権の設定も可能です。根拠法2：慣習法・判例（明認方法）登記をしていなくても、樹皮を削って所有者の氏名を記載したり、立て札を立てたりする**「明認方法（めいにんほうほう）」**を施すことで、土地から切り離して所有権を譲渡できることが判例で認められています。2. 具体例ケースA：山林の売買土地の所有者Aが、土地は手放さずに「植わっている杉の木だけ」を材木業者Bに売却する。この際、Bが木に自分の名前を書いた札を掲げれば（明認方法）、Aが後に土地をCに売ったとしても、BはCに対して「この木は自分のものだ」と主張できます。ケースB：立木登記広大な森林の所有者が、その樹木を担保に銀行から融資を受けたい場合、立木法に基づき登記をして抵当権を設定する。3. 過去問の急所（ひっかけ対策）行政書士試験では、「明認方法」と「登記（立木法）」の違いが非常によく問われます。抵当権設定の可否×誤り： 「明認方法を施せば、樹木に抵当権を設定することができる。」○正しい： 抵当権を設定できるのは立木法による登記がある場合のみです。明認方法では「譲渡担保」は可能ですが、抵当権は設定できません。対抗力の持続性ポイント： 明認方法は、看板が朽ち果てたり名前が消えたりして「外形上認識できなくなる」と、第三者への対抗力を失います。一方で、登記は一度行えば公示力が維持されます。土地の抵当権との関係土地に抵当権が設定された当時、すでに明認方法を備えた独立の樹木が存在していた場合、土地の抵当権の効力はその樹木には及びません。4. 周辺知識（セットで覚えるべき知識）「独立して取引できるもの」として、樹木と併せて以下の2点も整理しておきましょう。項目独立性の有無公示方法備考未分離の果実認められる明認方法りんごや稲など、収穫前の状態でも売買可能。建物常に独立登記土地とは別個の不動産（日本の民法の大原則）。農作物認められる不要（占有）権原に基づき他人の土地に植えた稲などは、植えた人の所有物となる。受験生へのアドバイス「木は土地の一部」という原則に対し、「名前を彫る（明認方法）」か「役所に登録する（立木法）」という例外ルートがあると覚えましょう。特に**「名前を彫っただけ（明認方法）では抵当権は付けられない」**という点は、民法の試験において超頻出のポイントです。,,,,,土地に生育する樹木について、明認方法を施した上で、土地とは独立した目的物として売却することは認められる。,,
地役権は、継続的に行使され、かつ、外形上認識することができるものに限り、時効取得できる,,,,,1. 根拠（条文・判例）結論：可能（ただし厳格な要件あり）地役権は、一定の要件を満たす場合に限り、時効によって取得することができます。根拠条文：民法283条「地役権は、継続的に行使され、かつ、外形上認識することができるものに限り、時効によって取得することができる。」要件の解説継続的行使： 権利が途切れることなく行使されていること。外形上の認識可能性： 第三者が客観的に見て「地役権が行使されている」と分かる状態であること（例：道ができている、窓があるなど）。2. 具体例と重要判例（通行地役権）最も試験に出るのが**「通行地役権（他人の土地を通る権利）」**の時効取得です。これには判例による非常に重要な追加要件があります。重要判例：最判昭30.12.26内容： 通行地役権を時効取得するためには、要役地（通る側の土地）の所有者が、承役地（通られる側の土地）の上に**「自ら通路を開設したこと」**が必要です。理由： 単に他人の土地を勝手に通り抜けているだけでは、所有者に対して「権利を行使している」という警告にならないためです。自ら道を舗装したり、門扉を設置したりして初めて、所有者も「あ、権利を主張されているな」と認識できると考えます。3. 過去問の急所（ひっかけ対策）行政書士試験で狙われるパターンは決まっています。「通路の開設」の主体×誤り： 「もともとあった通路を長年利用していれば、自ら開設していなくても時効取得できる。」○正しい： 要役地所有者が自ら開設していなければなりません。ここが最大の得点源です。「継続的」の意味ポイント： 絶え間なく歩き続けている必要はありませんが、利用したい時にいつでも利用できる状態（通路が存在している等）が続いている必要があります。「外形上認識」できない地役権×誤り： 「眺望地役権（景色を遮らない権利）も、長年景色を楽しんでいれば時効取得できる。」○正しい： 眺望や観望、あるいは「建物を建てない」といった地役権（不作為地役権）は、外形上の変化がないため、原則として時効取得できません。4. 周辺知識（セットで覚える不可分性）地役権の時効については、共有の場合のルールも頻出です（民法284条）。項目内容取得の不可分性共有者の一人が時効取得した場合、他の共有者も地役権を取得する（17条2項・284条1項）。中断の不可分性共有者に対する時効の中断は、共有者全員に対して行わない限り効力を生じない（284条2項）。受験生へのアドバイス：「地役権の時効取得 ＝ 自ら道を作った（開設した）」とセットで記憶してください。条文（283条）の字面だけでなく、この「自ら開設」という判例法理が加わって初めて正解にたどり着ける問題がほとんどです。,,,,,地役権は、継続的に行使され、かつ、外形上認識することができるものに限り、時効によって取得することができる。,,
A所有の甲土地上に権原なくB所有の乙建物が存在し、Bが乙建物をCに譲渡した後もB名義のままとした場合、その登記がBの意思に基づいてしたとされる場合、BはAに対し、乙建物の収去および甲土地の明け渡し義務を免れない,,,,,1. 根拠（条文・判例）結論：義務を免れない（Bが相手方となる）建物の所有権を他者に譲渡していても、自分名義の登記を残している場合、その登記が自分の意思に基づくなされたものであれば、土地所有者からの収去・明渡請求を拒むことができません。根拠となる判例：最判T9.9.5（最重要）判示： 「建物所有者が建物を他人に譲渡しても、建物につき自己名義の登記がある限り、土地所有者に対し、譲渡による建物所有権の喪失を主張して建物収去・土地明渡しの義務を免れることはできない（その登記が自己の意思に基づいてされたものである場合）。」考え方のポイント土地所有者（A）からすれば、建物が勝手に建てられている場合、誰が真の所有者かを調査するのは困難です。そのため、**「自らの意思で所有者として登記した者（B）」**は、たとえ実態として所有権がなくても、その登記を信じた土地所有者に対して責任を負うべきだという判断です。2. 具体例登場人物A： 甲土地の所有者（地主）。B： 乙建物の元所有者だが、登記名義はまだ自分のまま。C： 乙建物をBから買い取った実態上の所有者。状況BがAに無断で（権原なく）乙建物を建て、その後Cに売却した。しかし、登記はBのままで放置されていた。Aが「建物を壊して土地を返せ」と言ったとき、Bは「もうCに売ったから私には関係ない」とは言えません。AはBに対して裁判を起こし、建物の収去を求めることができます。3. 過去問の急所（ひっかけ対策）行政書士試験では、この判例の**「例外」や「要件」**が細かく問われます。ポイント1：Bの意思の有無ひっかけ： 「どのような場合でも、登記名義人であれば義務を免れない。」正解：×解説： 判例は「その登記が自己の意思に基づいてされたものである場合」と限定しています。例えば、勝手に名前を使われて登記されたような場合は、Bは義務を負いません。ポイント2：譲受人（C）への請求問： 「Aは、現在の真の所有者であるCに対して収去請求をすることはできないか？」答：×解説： もちろん、真の所有者であるCに対しても請求可能です。この判例は「登記名義人のBも相手方にできる」という、土地所有者Aを保護するための選択肢を認めたものです。4. 周辺知識（セットで覚えるべき知識）項目内容未登記の場合建物が未登記であれば、登記名義人という概念がないため、原則として**「真の所有者」**が収去義務を負います。建物の不法占拠者建物内に住んでいるだけの借家人などは、収去（壊す）権限がないため、収去請求の相手方にはなりません（退去請求の相手方にはなります）。信義則この判例の根底には「自ら所有者として公示（登記）しておきながら、都合が悪くなると所有者ではないと言うのは卑怯である」という信義則の考え方があります。,,,,,※種有権は、原則、売買契約時点に移転する。,,
A所有の甲土地上に権原なくD所有の未登記丁建物が存在し、未登記のままCに譲渡した場合、DはAに対し丁建物の収去および甲土地の明け渡し義務を負わない,,,,,"1. 根拠となる判例
結論：正しい（Dは義務を負わない）
建物が未登記である場合、その建物を他者に譲渡した元の所有者は、土地所有者からの収去請求の相手方とはなりません。

根拠となる判例：最判昭47.12.7

判示： 「建物が未登記である場合には、建物を譲渡して占有を離れた旧所有者は、たとえその者が建物の建築主であったとしても、土地所有者に対して建物収去の義務を負わない。」

考え方のポイント
前回確認した「T9.9.5」の判例（登記がある場合）との最大の違いは、**「登記という外観（信頼）の有無」**です。

登記がある場合： 自ら登記を入れた責任があるため、譲渡後も責任を負わされる。

未登記の場合： そもそも公的な外観（登記）が存在しないため、建物を処分する権限（所有権）を失った時点で、物理的に「建物を壊す」という義務を果たすことができなくなるため、義務も消滅します。

2. 具体例
状況：

Aさんの土地に、Dさんが勝手に未登記の建物を建てた。

Dさんはその建物をCさんに売り、引き渡した（占有を移した）。

結果：
Aさんが「建物を壊せ」と言いたい場合、相手にすべきなのは現在の所有者であるCさんだけです。Dさんはすでに所有権も占有も失っており、かつ登記という証拠も残していないため、AさんはDに対して請求することはできません。

3. 過去問の急所（「既登記」か「未登記」か！）
行政書士試験では、この2つの判例の「ひっかけ」が非常に多く出題されます。問題文を読む際に、真っ先に**「建物が登記されているか」**を確認するのが鉄則です。

判別フラグ：

「建物が既登記（自分名義）」 ＋ 「自らの意思で登記した」
→ 譲渡後も収去義務を負う（T9判例）。

「建物が未登記」 ＋ 「譲渡して占有も離れた」
→ 譲渡後は収去義務を負わない（昭47判例）。

過去問での出され方：
「未登記建物の所有者が、当該建物を第三者に譲渡し、占有を移転させた後であっても、土地所有者は当該旧所有者に対し建物の収去を請求することができる。」

正解：×

4. 周辺知識（整理表）
アプリの学習効率をSめるための比較表です。

建物コンディション        請求の相手方        理由
未登記        現在の所有者（譲受人） のみ        前所有者は処分権限を失っているため。
既登記（自分名義）        現在の所有者 ＋ 登記名義人        自らの意思で入れた登記の責任（信義則）。
未登記（不法占拠中）        現在の占有者        所有権がなくても、今そこを支配しているなら収去の相手方になり得る。
受験生へのアドバイス：
「建物収去」は建物を物理的に壊す行為を伴うため、原則として「壊す権利（所有権）」がある人が相手になります。既登記の場合に前所有者が相手にされるのは、あくまで「自分の名前で登記を残したままにするなんて紛らわしいことをしたことへのペナルティ」という例外的な扱いだと理解しましょう。

",,,,,※物権の設定及び移転は、（原則）当事者の意思に表示のみによって、その効力を生ずる。,,
建物とともに抵当権の目的とされた動産が、無断で搬出された場合、第三者が即時取得しない限り、抵当権者は、目的動産をもとの建物に戻すことを請求できる,,,,,1. 根拠（条文・判例）結論：請求できる抵当権の効力が及んでいる動産が、抵当不動産（建物など）から無断で搬出された場合、抵当権者は、その占有者に対して**「元の場所に戻すこと」**を請求できます。根拠条文：民法370条（抵当権の範囲）抵当権は、抵当不動産に「付加して一体となった物（付加一体物）」にも及びます。建物に備え付けられた畳、建具、備え付けの設備（動産）などがこれに該当します。根拠判例：最判昭32.12.27（最重要）判示： 「抵当不動産から分離搬出された物件に対しても、抵当権の効力は及ぶ。抵当権者は、抵当権に基づく物権的請求権として、その物件を元の備置場所に復帰させることを請求できる。」論理のポイント抵当権は、不動産の「価値」を把握する権利です。価値の一部である動産が勝手に持ち出されることは、抵当権の侵害にあたります。そのため、担保価値を維持するために元に戻すよう求める権利（物権的妨害排除・予防請求権）が認められています。2. 具体例状況：A銀行がBさんの自宅に抵当権を設定した。Bさんが借金の返済に困り、自宅に備え付けられていたS価なシステムキッチンやバスタブを勝手に取り外し、リサイクル業者Cに売却するために搬出した。結果：A銀行はCに対して、「そのキッチンとバスタブをBさんの家に戻せ」と請求できます。3. 過去問の急所（ひっかけ対策）行政書士試験において、この論点で狙われる「ひっかけ」は主に2点です。「即時取得」というストッパーポイント： 搬出された動産を、事情を知らない第三者が過失なく買い取った場合、**即時取得（民法192条）**が成立します。ひっかけ： 「いかなる場合でも、抵当権者は搬出された動産を取り戻すことができる。」正解：×（即時取得されたら、抵当権の効力は消滅し、取り戻せなくなります）「誰に」戻すのかポイント： 原則として「抵当権者の手元」ではなく、**「もとの場所（抵当不動産）」**に戻すよう請求します。発展： ただし、不動産の所有者（設定者）が適切に管理できないような特殊な事情がある場合は、直接「自分（抵当権者）に引き渡せ」と言える場合もあります（最判T7.3.10参照）。4. 周辺知識（セットで覚えるべき知識）項目内容抵当権の追及権目的物が場所を移動しても、抵当権の効力が追いかけていく性質のこと。ただし、動産の場合は即時取得に弱い。付加一体物と従物判例は、370条の「付加一体物」だけでなく「従物」にも抵当権が及ぶとしています（最判昭44.3.28）。明認方法との関係搬出されたのが樹木の場合、立木法や明認方法によって「独立した不動産」として扱われているかどうかが重要になります。暗記用まとめカード原則： 持ち出された動産も、抵当権のターゲットのまま。権利： 「元に戻せ！」と言える（物権的請求権）。限界： 善意・無過失の第三者が買ったら負け（即時取得）。,,物権的請求権に関する次の記述のうち、民法の規定および判例に照らし、妥当でないものはどれか。,,,A所有の甲土地上に権原なくB所有の登記済みの乙建物が存在し、Bが乙建物をCに譲渡した後も建物登記をB名義のままとしていた場合において、その登記がBの意思に基づいてされていたときは、Bは、Aに対して乙建物の収去および甲土地の明渡しの義務を免れない。,,
抵当権設定者が抵当不動産を他人に賃貸した場合、競売手続きを妨害する目的が認められ、賃借人の占有により交換価値の実現が妨げられて優先弁済請求権の行使が困難となるような状態があるときは、抵当権者は、賃借人に対して、抵当権に基づく妨害排除請求ができる,,,,,1. 根拠（判例）結論：可能抵当不動産の所有者が、競売を妨害する目的で第三者に貸し出し、その占有によって不動産の価値（価格）が著しく下がるような場合には、抵当権者はその占有者に対し、抵当権に基づき妨害の排除を求めることができます。根拠となる判例：最判T11.11.24（最重要）判示： 「抵当不動産の所有者において抵当権に対する不当な侵害が生じないよう適切に管理すべき義務に違反したと認められるときは、抵当権者は、占有者に対し、抵当権に基づく妨害排除請求として、その排除を求めることができる。」認められる要件：目的： 競売手続を妨害する目的が認められること。実害： 占有により交換価値の実現が妨げられ、優先弁済請求権の行使が困難となる状態があること。2. 具体例ケース：妨害目的の賃貸借A銀行がBのビルに抵当権を設定し、競売を申し立てようとした。Bは、競売で買い手がつかないようにするため、暴力団関係者や占有屋Cと通じて、格安の賃料でビルの一部を貸し出す契約（形だけの賃貸借）を結び、Cを居座らせた。Cが占有しているせいで、競売での評価額が暴落し、A銀行が債権を回収できなくなった。結果：A銀行はCに対して、「抵当権を邪魔しているから出ていけ」と請求（妨害排除請求）をすることができます。3. 過去問の急所（ここが狙われる！）行政書士試験では、**「どのような場合に、どこまで請求できるか」**という限界が問われます。「不法占拠」でなくてもよいポイント： 第三者が「賃貸借契約」という一見正当な権原を持っていても、それが妨害目的であれば排除の対象になります。交換価値の侵害ポイント： 単に気に入らない人が住んでいるだけでは足りません。**「交換価値の実現が妨げられる（＝売れなくなる、安くなる）」**という経済的なダメージが要件です。誰の名義で排除するかポイント： 抵当権は占有を目的とする権利ではありませんが、この判例により「抵当権そのもの」の力で妨害を排除できることが明確になりました。4. 周辺知識（直接の明渡請求）さらに踏み込んだ内容として、以下の判例もセットで暗記必須です。請求内容判例内容直接の明渡請求最判T17.3.10設定者が適切に管理できない場合、抵当権者は自分（債権者）に直接建物を明け渡せと請求できる。不法占拠と損害賠償最判T17.4.1不法占拠により競売が遅れた場合、抵当権者は占有者に対し損害賠償請求もできる。暗記のポイント：T11年判決で「追い出せる（排除）」ことが決まり、T17年判決で「（設定者がダメなら）俺に渡せ（直接明渡し）」と言えるようになった、という流れで押さえましょう。受験生へのアドバイス「抵当権は、本来は『価値』を見るだけの権利。でも、その価値をボロボロにされるなら、例外的に『占有者』にも文句が言える」という理屈です。特に**「交換価値の実現が妨げられている」**というフレーズは記述式でも書けるようにしておきましょう。,,,,,D所有の丙土地上に権原なくE所有の未登記の丁建物が存在し、Eが丁建物を未登記のままFに譲渡した場合、Eは、Dに対して丁建物の収去および丙土地の明渡しの義務を負わない。,,
動産売買の所有権留保がされた場合、特段の事情がない限り、当該動産の撤去義務や不法行為責任を負わないが、弁済期経過後は、撤去義務や不法行為責任を免れない,,,,,1. 根拠（判例・法理）結論：弁済期が経過しても、原則として売主は責任を負わない動産売買で所有権を留保した売主は、代金支払の前後（弁済期の経過前後）を問わず、特段の事情がない限り、その動産による不法行為責任や撤去義務を負いません。根拠となる考え方（担保権的構成）：所有権留保における売主の所有権は、あくまで「代金を回収するための担保」としての性質しか持ちません。実質的な**「使用・収益・管理」の権限は買主（債務者）にある**ため、その物から生じたトラブルの責任も、管理権限を持つ買主が負うべきだと考えられています。判例の傾向：下級審判例（東京地裁T27.5.21等）でも、買主が代金を滞納し、弁済期が経過した後であっても、売主が実際にその動産を引き揚げて（占有を回収して）管理を開始しない限り、放置された動産に対する撤去義務は認められないとするのが一般的です。2. 具体例状況：工作機械メーカーAが、建設会社Bに機械を「所有権留保」で販売。Bは代金を払わず（弁済期経過）、経営破綻して機械を他人の土地に放置した。土地所有者が、名義上の所有者であるAに対し「機械を撤去しろ」または「不法行為だ（損害賠償）」と訴えた。結果：Aは原則として拒否できます。 弁済期が過ぎたからといって、自動的にAが「管理責任者」になるわけではないからです。3. 過去問の急所（ひっかけ対策）ここが試験で「×」の選択肢として作られるポイントです。ひっかけパターン：「売買代金の弁済期が経過した後は、売主はいつでも目的物を回収できる立場にあるため、当該動産の放置による不法行為責任を免れることはできない。」正解：×解説： 「回収できる権利があること」と「現実に管理していること」は別です。現実に占有・管理していない売主に責任を押し付けるのは酷である、と判断されます。「特段の事情」とは何か？もし売主が、買主から「もう要らないから引き取ってくれ」と言われ、いつでも引き取れる状態なのにあえて放置し続けたような、**「売主が実質的な管理権限を行使できる状態にあった」**場合には、例外的に責任を問われる可能性があります。4. 周辺知識（整理表）アプリ内で「所有権の所在」と「責任の所在」を切り分けて解説すると、ユーザーの理解が進みます。状態所有権の所在管理・占有の所在責任（撤去・不法行為）代金完済前売主（担保として）買主買主が負う弁済期経過後売主買主（占有中）買主が負う（原則）売主が回収後売主売主売主が負う受験生へのアドバイス：「名義（登記や所有権）があるからといって、直ちに責任が発生するわけではない」というのは、現代民法の重要な感覚です。「誰がその物をコントロールしているか？」という実質的な管理責任に注目して解くのがコツです。,,,,,工場抵当法により工場に属する建物とともに抵当権の目的とされた動産が、抵当権者に無断で同建物から搬出された場合には、第三者が即時取得しない限り、抵当権者は、目的動産をもとの備付場所である工場に戻すことを請求することができる。,,
